"","Centrality","Class","RCI","RI"
"ACALD",0.457446808510638,"MLE",24,1
"ALCD2x",0.425531914893617,"MLE",24,1
"CO2t",0.106382978723404,"Opt",30,4
"CYTBD",0.48936170212766,"Opt",57,5
"ETOHt2r",0.393617021276596,"MLE",24,1
"FBA",0.0957446808510638,"Opt",65,14
"FORt",0.0425531914893617,"MLE",44,3
"FUM",0.265957446808511,"Opt",61,1
"G6PDH2r",0.436170212765957,"Opt",82,8
"GLUDy",0.51063829787234,"Opt",60,1
"GLUSy",0.436170212765957,"MLE",4,1
"GND",0.191489361702128,"Opt",82,8
"H2Ot",0.202127659574468,"Opt",30,8
"ICL",0.0957446808510638,"MLE",15,1
"MALS",0.531914893617021,"MLE",15,1
"MDH",0.446808510638298,"Opt",26,1
"NADH16",0.446808510638298,"Opt",62,6
"NADTRHD",0.191489361702128,"MLE",76,4
"O2t",0.0319148936170213,"Opt",57,5
"PDH",0.297872340425532,"Opt",61,2
"PFK",0.48936170212766,"Opt",43,14
"PFL",0.202127659574468,"MLE",59,3
"PGI",0.0957446808510638,"Opt",73,14
"PGL",0.457446808510638,"Opt",82,8
"PPC",0.574468085106383,"Opt",59,8
"RPE",0.0531914893617021,"Opt",74,10
"SUCDi",0.106382978723404,"Opt",61,1
"TALA",0.117021276595745,"Opt",80,9
"TKT1",0.0957446808510638,"Opt",80,9
"TKT2",0.127659574468085,"Opt",82,10
"TPI",0.074468085106383,"Opt",65,14
