Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod
CMCBTFL,0,0.000325773688742307,VIUB,0,0.000325762956894608,0.000325773688742312,0,0,0
CMCBTFU,0,0.000325773688742307,VIUB,0,0.000325762956894608,0.000325773688742312,0,0,0
CTPS1,0,7.33959101512582,CTPS2,0,3.66979550755929,0.0167046276289919,0,0,0
AMMQT8,0,0.000686451701278449,AMMQT8_2,0,0.000686390707871433,0.000686451701278442,0,0,0
CYTBD,0,20.7646743933996,DHORDi,0,0.459557296139503,9.94745766234005,0,0,0
CYTK1,-3.66858921477988,3.67016658149107,NTD4,0,7.33875579627937,0.0157739038349973,0,-1,0
DADK,-0.000203143164526409,3.66936774113132,NTPP5,0,3.66937789814159,-0.000203143164526409,0,-1,0
ASNt2r,-0.777620800437425,1,ASNS1,0,2.44625193209203,1,0,-1,0
ADK1,-999.994232542625,7.3445232536519,ADK2,0,1000,0.115350878491881,0,-1,0
DHFR_copy1,-999.99999767308,0.000639912602878212,DHFR_copy2,0,1000,4.65390984345504e-05,-0.00774660744889388,-1,0
DHNPA_1,0,4.65390983917589e-05,DHNPA2r,0,4.65390983917575e-05,4.65390983917522e-05,0,0,0
DHNPA_1,0,4.65390983917589e-05,DHPS2,0,4.65390983917575e-05,4.65390983917522e-05,0,0,0
DHNPA_1,0,4.65390983917589e-05,HPPK2,0,4.65390983917575e-05,4.65390983917522e-05,0,0,0
DHPPDA2,0,0.00204190294193831,DHPPDA,0,0.00204190294193831,0.00204190294193842,0,0,0
DHPPDA2,0,0.00204190294193831,GTPCII,0,0.00204190294193831,0.00204190294193842,0,0,0
DMPPS,0,0.742071876328288,IPDDI,-0.556761199460498,0.185310676868213,0.00276965809303954,4.65390983917522e-05,0,-1
FAS160,0,0.454182964291914,ETHAt,-1.09281951762421,0,0,0,0,-0
FAS160,0,0.454182964291914,GPDDA2,0,1.09281951762421,0,0,0,0
FAS160,0,0.454182964291914,LPLIPAL2E160,0,1.09281951762342,0,0.00435821204276924,0,0
FAS160,0,0.454182964291914,PLIPA1E160,0,3.66937789814206,0,0.0146453306990679,0,0
FAS181,0,0.666765227693294,DESAT18,0,0.66676522769251,0,0,0,0
FAS181,0,0.666765227693294,FACOAL180,0,3.66940654542983,0,0,0,0
FAS181,0,0.666765227693294,FACOAL181,-0.273098630410933,0.666736580398062,0,0,0,-1
FOLD3,0,4.65390983917589e-05,DHNPA2r,0,4.65390983917575e-05,0,0,0,0
FOLD3,0,4.65390983917589e-05,DHPS2,0,4.65390983917575e-05,0,0,0,0
FOLD3,0,4.65390983917589e-05,HPPK2,0,4.65390983917575e-05,0,0,0,0
FRD,0,1000,GLUCYS,0,2.44625193209314,0,0.000218559240822297,0,0
FRD,0,1000,EGTB,0,0.212717559312142,0,0,0,0
FRD,0,1000,EGTC,0,0.212717559312142,0,0,0,0
FRD,0,1000,EGTE,0,0.212717559312142,0,0,0,0
FRD,0,1000,EGTD,0,0.212717559312142,0,0,0,0
GLYCt,-1,0.659148861244287,G3PD1ir,-0.99968085710475,22.7554476417327,0,0,-1,-1
GLYCt,-1,0.659148861244287,G3PT,0,7.33875579627523,0,0,-1,0
GLYK,0,8.33871931890227,G3PD1ir,-0.99968085710475,22.7554476417327,0,0,0,-1
G16MTM2,0,0.000308786917829317,MANAT2,0,0.000308786917829316,0,0.0183742177837963,0,0
GTPCII2,0,0.00204190294193831,DHPPDA,0,0.00204190294193831,0,0,0,0
GTPCII2,0,0.00204190294193831,GTPCII,0,0.00204190294193831,0,0,0,0
GHMT2r,0,2.97082961647172,ICL,0,2.47289693849103,0,0,0,0
GLGC,0,7.34021155233581,MTI,0,7.33943991076512,0.0088777984092119,0,0,0
GLGC,0,7.34021155233581,MAK,0,7.33943991076197,0.0088777984092119,0.0146578962555954,0,0
GLGC,0,7.34021155233581,GLGE,0,7.33943991076197,0.0088777984092119,0,0,0
HPPK,0,4.65390983917589e-05,DHNPA2r,0,4.65390983917575e-05,0.0183742177837963,0,0,0
HPPK,0,4.65390983917589e-05,DHPS2,0,4.65390983917575e-05,0.0183742177837963,0,0,0
HPPK,0,4.65390983917589e-05,HPPK2,0,4.65390983917575e-05,0.0183742177837963,0,0,0
GLU5K,0,7.33915727722622,ORNTA,0,7.33915727724118,0,0,0,0
MI1PS,0,0.000720483416977413,MI3PP,0,0.000720483416977412,4.43487495257727,6.84124746358854e-05,0,0
MMSAD1,0,0.99009029020815,MACCOAT,0,0.709661300589981,0,0.000376617653735308,0,0
MMSAD1,0,0.99009029020815,HACD9,0,0.709661300589981,0,0,0,0
MMSAD1,0,0.99009029020815,ECOAH9ir,0,0.709661300589981,0,0,0,0
MMSAD1,0,0.99009029020815,ACOADH1,0,0.709661300589981,0,0,0,0
MMSAD1,0,0.99009029020815,BKDC1,0,0.709661300589981,0,0,0,0
MMSAD1,0,0.99009029020815,3M2OPLOXRD,0,0.709661300589981,0,0,0,0
FCLT,0,9.30781967835491e-05,FETRANS,-9.3078196755414e-05,0,0,0,0,-0
FCLT,0,9.30781967835491e-05,FCLT2,0,9.30781967835491e-05,0,6.84124746358854e-05,0,0
MAN1PT2,0,0.00402790079193376,MAN1PT,0,0.00402580169422225,0.00915191369873937,0.00789477630343198,0,0
MECDPDH,0,0.742071876328288,IPDDI,-0.556761199460498,0.185310676868213,0,4.65390983917522e-05,0,-1
MECDPDH,0,0.742071876328288,HMEDS,0,0.630061027071381,0,0.0179724108430564,0,0
MECDPDH,0,0.742071876328288,HMEDR,0,0.630061027071381,0,0,0,0
MI1PP,0,2.44628795572545,MI3PP,0,0.000720483416977412,0,6.84124746358854e-05,0,0
NDPK3,-3.66866047671022,3.67011248060816,NTD4,0,7.33875579627937,0,0,-1,0
PGMT,-7.3402963453022,3.66852146359599,MTI,0,7.33943991076512,0,0,-1,0
PGMT,-7.3402963453022,3.66852146359599,MAK,0,7.33943991076197,0,0.0146578962555954,-1,0
PGMT,-7.3402963453022,3.66852146359599,GLGE,0,7.33943991076197,0,0,-1,0
PGMT,-7.3402963453022,3.66852146359599,GLGP,0,3.66937789813968,0,0.00037231278713407,-1,0
PUNP5,-3.66956605724713,0,HXPRT,0,2.44629405516115,0,0.000222398716439617,-0,0
RPE,-0.358270046932874,5.9340834319906,GND,0,8.9042166575426,0.000377373914084174,0.000556840312257394,-1,0
RPE,-0.358270046932874,5.9340834319906,G6PDH2r,0,8.9042166575426,0.000377373914084174,0.000853003499628358,-1,0
RPE,-0.358270046932874,5.9340834319906,PGL,0,8.9042166575426,0.000377373914084174,0.000621587832894928,-1,0
SHSL4r,-0.00404826164742644,0.85533769305891,THRD_L,0,0.855525930259152,0,0.024801965358165,-1,0
TDMS3,0,0.000127807998958365,OTSB1,0,0.000255577148999363,0.00949106737823513,0,0,0
TDMS3,0,0.000127807998958365,TMMYCO,0,0.000255577148999363,0.00949106737823513,0,0,0
TDMS3,0,0.000127807998958365,FBPA,0,0.000127788574499681,0.00949106737823513,0.00332172814771157,0,0
TKT2,-0.508140071764969,2.96686743695931,GND,0,8.9042166575426,0,0.000556840312257394,-1,0
TKT2,-0.508140071764969,2.96686743695931,G6PDH2r,0,8.9042166575426,0,0.000853003499628358,-1,0
TKT2,-0.508140071764969,2.96686743695931,PGL,0,8.9042166575426,0,0.000621587832894928,-1,0
URIDK2r,-0.000593373504443662,3.66934822990594,DUTPDP,0,3.66937789814114,0,0.00114020791059788,-1,0
P5CR,0,2.15078827370374,P5CRx,0,2.15078827370011,0,0.000686451701278442,0,0
TRE6PP,0,7.33952743786358,TREY,0,7.33875579627847,0,0,0,0
TRPS1,0,0.35121709876834,TRPS2,0,0.35121709876834,5.68358739109354e-05,0.00199012819497758,0,0
TRPS1,0,0.35121709876834,TRPS3,0,0.35121709876834,5.68358739109354e-05,0,0,0
HDECH,-1.09297896690778,0.406488712438202,G3PAT160,0,0.851017154721519,0.00418328320668922,0,-1,0
PAPSR,-0.000376617653728317,0.824208295061729,BPNT,0,0.824227125661532,4.25251011554696e-05,0,-1,0
PAPSR,-0.000376617653728317,0.824208295061729,ADSK,0,7.33875579628302,4.25251011554696e-05,0,-1,0
HIBD,0,0.99009029020815,MACCOAT,0,0.709661300589981,0,0.000376617653735308,0,0
HIBD,0,0.99009029020815,HACD9,0,0.709661300589981,0,0,0,0
HIBD,0,0.99009029020815,ECOAH9ir,0,0.709661300589981,0,0,0,0
HIBD,0,0.99009029020815,ACOADH1,0,0.709661300589981,0,0,0,0
HIBD,0,0.99009029020815,BKDC1,0,0.709661300589981,0,0,0,0
HIBD,0,0.99009029020815,3M2OPLOXRD,0,0.709661300589981,0,0,0,0
ACCOAC,-3.64980930663764,7.35832438777522,BIRA,0,3.6693778981423,0,0,-1,0
ACCOAC,-3.64980930663764,7.35832438777522,ACCD3,0,3.6693778981423,0,0,-1,0
