"","Centrality","Class","RCI","RI"
"3HBCOAHL",0.667755102040816,"Opt",0.35031847133758,0.0382165605095541
"3M2OPLOXRD",0.508571428571429,"MLE",0.267515923566879,0.0445859872611465
"ACCA3",0.234285714285714,"MLE",0.0191082802547771,0.00636942675159236
"ACCD3",0.522448979591837,"MLE",0.0191082802547771,0.00636942675159236
"ACCOAC",0.617959183673469,"Opt",0.0764331210191083,0.0191082802547771
"ACOADH1",0.0359183673469388,"MLE",0.267515923566879,0.0445859872611465
"ADK1",0.177142857142857,"Opt",0.0828025477707006,0.00636942675159236
"ADK2",0.226122448979592,"ELE",0.00636942675159236,0.00636942675159236
"ADSK",0.542040816326531,"MLE",0.089171974522293,0.0127388535031847
"AMMQT8",0.506122448979592,"Opt",0.191082802547771,0.00636942675159236
"AMMQT8_2",0.506122448979592,"MLE",0.133757961783439,0.00636942675159236
"AMYL2",0.524897959183673,"Opt",0.0828025477707006,0.0254777070063694
"APSR",0.523265306122449,"Opt",0.146496815286624,0.0191082802547771
"ASNN",0.342040816326531,"Opt",0.0318471337579618,0.0127388535031847
"ASNS1",0.695510204081633,"MLE",0.0509554140127389,0.00636942675159236
"ASNt2r",0.496326530612245,"Opt",0.0318471337579618,0.0191082802547771
"ASPO5",0.508571428571429,"MLE",0.0636942675159236,0.00636942675159236
"ASPO6",0.515102040816326,"Opt",0.101910828025478,0.00636942675159236
"ASPTA",0.0628571428571429,"Opt",0.0318471337579618,0.0127388535031847
"BIRA",0.679183673469388,"MLE",0.0191082802547771,0.00636942675159236
"BKDA2",0.0995918367346939,"Opt",0.35031847133758,0.0382165605095541
"BKDC",0.551020408163265,"Opt",0.35031847133758,0.0382165605095541
"BKDC1",0.120816326530612,"MLE",0.267515923566879,0.0445859872611465
"BPNT",0.422040816326531,"MLE",0.10828025477707,0.0127388535031847
"CITabc",0.678367346938776,"Opt",0.00636942675159236,0.00636942675159236
"CMCBTFL",0.00408163265306122,"Opt",0.101910828025478,0.00636942675159236
"CMCBTFU",0.00571428571428571,"Opt",0.101910828025478,0.00636942675159236
"CS",0.671020408163265,"Opt",0.0700636942675159,0.00636942675159236
"CTPS1",0.606530612244898,"Opt",0.0828025477707006,0.00636942675159236
"CTPS2",0.692244897959184,"MLE",0.0318471337579618,0.00636942675159236
"CYTBD",0.624489795918367,"Opt",0.0509554140127389,0.00636942675159236
"CYTK1",0.172244897959184,"Opt",0.0509554140127389,0.00636942675159236
"DADK",0.161632653061224,"Opt",0.114649681528662,0.00636942675159236
"DESAT18",0.627755102040816,"ELE",0.0700636942675159,0.00636942675159236
"DHFR_copy1",0.503673469387755,"Opt",0.0509554140127389,0.00636942675159236
"DHFR_copy2",0.503673469387755,"Opt",0.00636942675159236,0.00636942675159236
"DHNPA_1",0.00489795918367347,"Opt",0.089171974522293,0.0191082802547771
"DHNPA2r",0.00489795918367347,"Opt",0.146496815286624,0.0191082802547771
"DHORD2",0.00816326530612245,"Opt",0.127388535031847,0.00636942675159236
"DHORDi",0.0375510204081633,"MLE",0.0828025477707006,0.0127388535031847
"DHPPDA",0.618775510204082,"Opt",0.0318471337579618,0.0127388535031847
"DHPPDA2",0.618775510204082,"Opt",0.280254777070064,0.0127388535031847
"DHPS2",0.0955102040816326,"Opt",0.146496815286624,0.0191082802547771
"DMPPS",0.64,"Opt",0.0573248407643312,0.00636942675159236
"DUTPDP",0.655510204081633,"MLE",0.0700636942675159,0.00636942675159236
"ECOAH12",0.324081632653061,"Opt",0.35031847133758,0.0382165605095541
"ECOAH9ir",0.324897959183673,"MLE",0.267515923566879,0.0445859872611465
"EGTB",0.0351020408163265,"MLE",0.0445859872611465,0.00636942675159236
"EGTC",0.076734693877551,"MLE",0.0445859872611465,0.00636942675159236
"EGTD",0.502857142857143,"MLE",0.0445859872611465,0.00636942675159236
"EGTE",0.0555102040816327,"MLE",0.0445859872611465,0.00636942675159236
"ENO",0.328163265306122,"Opt",0.0573248407643312,0.00636942675159236
"ETHAt",0.00326530612244898,"MLE",0.0828025477707006,0.00636942675159236
"FACOAL180",0.32,"ELE",0.0191082802547771,0.00636942675159236
"FACOAL181",0.315918367346939,"ELE",0.0700636942675159,0.00636942675159236
"FADE233",0.0359183673469388,"Opt",0.35031847133758,0.0382165605095541
"FAS160",0.681632653061224,"Opt",0.114649681528662,0.0382165605095541
"FAS161",0.68734693877551,"Opt",0.21656050955414,0.00636942675159236
"FAS181",0.689795918367347,"Opt",0.299363057324841,0.0191082802547771
"FBPA",0.61469387755102,"MLE",0.159235668789809,0.00636942675159236
"FCLT",0.497959183673469,"Opt",0.133757961783439,0.0127388535031847
"FCLT2",0.497959183673469,"ELE",0.0127388535031847,0.00636942675159236
"FETRANS",0.00979591836734694,"ELE",0.0127388535031847,0.00636942675159236
"FOLD3",0.0955102040816326,"Opt",0.089171974522293,0.0191082802547771
"FRD",0.0514285714285714,"Opt",0.477707006369427,0.0318471337579618
"G16MTM2",0.502040816326531,"Opt",0.101910828025478,0.00636942675159236
"G3PAT160",0.0302040816326531,"MLE",0.159235668789809,0.00636942675159236
"G3PD1ir",0.525714285714286,"ELE",0.0254777070063694,0.0127388535031847
"G3PT",0.391020408163265,"MLE",0.0636942675159236,0.00636942675159236
"G6PDH2r",0.503673469387755,"MLE",0.101910828025478,0.0127388535031847
"GAPD",0.582040816326531,"Opt",0.089171974522293,0.0191082802547771
"GHMT2r",0.340408163265306,"Opt",0.140127388535032,0.0127388535031847
"GLGC",0.568163265306122,"Opt",0.0828025477707006,0.0254777070063694
"GLGE",0.142040816326531,"ELE",0.0573248407643312,0.0191082802547771
