"","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule"
"1","4HTHRA","E4PD",-0.000586711136406848,0,-0.000391140757642461,0.000195569599554801,0,0,0,-1,NA,NA,-0.000391140757642461,-0.000391140793204825,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL","33","0.0021885254337180356","15","16","2",31,"Glycine and Serine Metabolism","Cofactor and Prosthetic Group Biosynthesis"
"2","4HTHRA","OHPBAT",-0.000586711136406848,0,-0.000391140757642461,0.000195569599554801,0,2.3553662197951,0,-1,NA,NA,-0.000391140757642461,-0.000391140793204825,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL","33","0.0021885254337180356","15","16","2",31,"Glycine and Serine Metabolism","Cofactor and Prosthetic Group Biosynthesis"
"3","4HTHRA","PERD",-0.000586711136406848,0,-0.000391140757642461,0.000195569599554801,0,0,0,-1,NA,NA,-0.000391140757642461,-0.000391140793204825,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL","33","0.0021885254337180356","15","16","2",31,"Glycine and Serine Metabolism","Cofactor and Prosthetic Group Biosynthesis"
"4","4HTHRK","E4PD",0,0.000586711136451864,-0.000391140757642461,0.000195569599554801,0,0,0,-1,-0.000391140757642461,-0.000391140793204825,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL","33","0.0021885254337180356","15","16","2",31,"Glycine and Serine Metabolism","Cofactor and Prosthetic Group Biosynthesis"
"5","4HTHRK","OHPBAT",0,0.000586711136451864,-0.000391140757642461,0.000195569599554801,0,2.3553662197951,0,-1,-0.000391140757642461,-0.000391140793204825,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL","33","0.0021885254337180356","15","16","2",31,"Glycine and Serine Metabolism","Cofactor and Prosthetic Group Biosynthesis"
"6","4HTHRK","PERD",0,0.000586711136451864,-0.000391140757642461,0.000195569599554801,0,0,0,-1,-0.000391140757642461,-0.000391140793204825,NA,NA,"pFBAOpt_Rxns","pFBAOpt_Rxns","RSL","33","0.0021885254337180356","15","16","2",31,"Glycine and Serine Metabolism","Cofactor and Prosthetic Group Biosynthesis"
"7","AACPS3","3HAD160",0,108.396632921958,0,25.712750913201,0.158739126802971,0,0,0,0,-3.14259035461006e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","1.5949935669097945","5","6","4",11,"Cell Envelope Biosynthesis","Cell Envelope Biosynthesis"
"8","AACPS3","3OAR160",0,108.396632921958,0,25.712750913201,0.158739126802971,1.50653607134586,0,0,0,-3.1377567211166e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","1.5949935669038999","6","6","3",12,"Cell Envelope Biosynthesis","Cell Envelope Biosynthesis"
"9","AACPS3","3OAS160",0,108.396632921958,0,25.712750913201,0.158739126802971,0,0,0,0,-3.14259035461006e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","1.5949935669038999","6","6","3",12,"Cell Envelope Biosynthesis","Cell Envelope Biosynthesis"
"10","AACPS4","3HAD161",0,108.397632698543,0,25.713287025286,0.259408760049781,0,0,0,0,1.07253095293913e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","17","2.1305872111631285","6","7","4",13,"Cell Envelope Biosynthesis","Cell Envelope Biosynthesis"
"11","AACPS4","3OAR161",0,108.397632698543,0,25.713287025286,0.259408760049781,0,0,0,0,1.07253095293913e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","17","2.1305872111631285","6","7","4",13,"Cell Envelope Biosynthesis","Cell Envelope Biosynthesis"
"12","AACPS4","3OAS161",0,108.397632698543,0,25.713287025286,0.259408760049781,0,0,0,0,1.07253095293913e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","17","2.1305872111631285","6","7","4",13,"Cell Envelope Biosynthesis","Cell Envelope Biosynthesis"
"13","AACPS7","3HAD120",0,108.394449024034,0,25.711579837506,0,0,0,0,0,1.39133149446025e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","0.9725826570232452","5","6","4",11,"Cell Envelope Biosynthesis","Cell Envelope Biosynthesis"
"14","AACPS7","3OAR120",0,108.394449024034,0,25.711579837506,0,0,0,0,0,1.36424205265939e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","0.9725826570232452","5","6","4",11,"Cell Envelope Biosynthesis","Cell Envelope Biosynthesis"
"15","AACPS7","3OAS120",0,108.394449024034,0,25.711579837506,0,0,0,0,0,1.39133149446025e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","15","0.9725826570232452","5","6","4",11,"Cell Envelope Biosynthesis","Cell Envelope Biosynthesis"
"16","ACACT1r","3HAD100",-9.78604669763422,7.18802865083069,0,17.5653367206703,0,0,-1,0,0,4.46709336188178e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348389929","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"17","ACACT1r","3HAD40",-9.78604669763422,7.18802865083069,0,9.80165198225041,0,0,-1,0,0,-3.5292740951931e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225573","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"18","ACACT1r","3HAD60",-9.78604669763422,7.18802865083069,0,9.80165198225424,0,0.000195570378817213,-1,0,0,-1.91900939583434e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225573","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"19","ACACT1r","3HAD80",-9.78604669763422,7.18802865083069,0,9.80165198225258,0,0,-1,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225573","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"20","ACACT1r","3OAR100",-9.78604669763422,7.18802865083069,0,17.5653367206703,0,5.9369994546805,-1,0,0,4.43378667114303e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348389929","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"21","ACACT1r","3OAR40",-9.78604669763422,7.18802865083069,0,9.80165198225041,0,0.000195570378817213,-1,0,0,-3.5242919693701e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863224966","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"22","ACACT1r","3OAR60",-9.78604669763422,7.18802865083069,0,9.80165198225427,0,0,-1,0,0,-1.92130755749531e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225573","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"23","ACACT1r","3OAR80",-9.78604669763422,7.18802865083069,0,9.80165198225257,0,0,-1,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225573","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"24","ACACT1r","3OAS100",-9.78604669763422,7.18802865083069,0,17.5653367206703,0,0,-1,0,0,4.46709336188178e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348389929","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"25","ACACT1r","3OAS60",-9.78604669763422,7.18802865083069,0,9.80165198225424,0,0,-1,0,0,-1.91900939583434e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863224966","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"26","ACACT1r","3OAS80",-9.78604669763422,7.18802865083069,0,9.80165198225258,0,0,-1,0,0,0,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225573","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"27","ACACT2r","3HAD100",-9.78604669763422,7.18802865083069,0,17.5653367206703,0,0,-1,0,0,-3.39537287175062e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348389067","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"28","ACACT2r","3HAD40",-9.78604669763422,7.18802865083069,0,9.80165198225041,0,0,-1,0,0,-1.43159373244828e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","29","10.377514270970337","13","16","0",29,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"29","ACACT2r","3HAD60",-9.78604669763422,7.18802865083069,0,9.80165198225424,0,0.000195570378817213,-1,0,0,-1.25696814068377e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"30","ACACT2r","3HAD80",-9.78604669763422,7.18802865083069,0,9.80165198225258,0,0,-1,0,0,-4.06129296859348e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"31","ACACT2r","3OAR100",-9.78604669763422,7.18802865083069,0,17.5653367206703,0,5.9369994546805,-1,0,0,-3.39923644787632e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348389067","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"32","ACACT2r","3OAR40",-9.78604669763422,7.18802865083069,0,9.80165198225041,0,0.000195570378817213,-1,0,0,-1.43245415529236e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"33","ACACT2r","3OAR60",-9.78604669763422,7.18802865083069,0,9.80165198225427,0,0,-1,0,0,-1.26192389870994e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"34","ACACT2r","3OAR80",-9.78604669763422,7.18802865083069,0,9.80165198225257,0,0,-1,0,0,-4.09272615797818e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
