Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
AACPS3,3HAD160,ELE_Rxns,ELE_Rxns
AACPS3,3OAR160,ELE_Rxns,ELE_Rxns
AACPS3,3OAS160,ELE_Rxns,ELE_Rxns
AACPS4,3HAD161,ELE_Rxns,ELE_Rxns
AACPS4,3OAR161,ELE_Rxns,ELE_Rxns
AACPS4,3OAS161,ELE_Rxns,ELE_Rxns
AACPS7,3HAD120,ELE_Rxns,ELE_Rxns
AACPS7,3OAR120,ELE_Rxns,ELE_Rxns
AACPS7,3OAS120,ELE_Rxns,ELE_Rxns
ACACT1r,3HAD100,ELE_Rxns,ELE_Rxns
ACACT1r,3HAD40,ELE_Rxns,ELE_Rxns
ACACT1r,3HAD60,ELE_Rxns,ELE_Rxns
ACACT1r,3HAD80,ELE_Rxns,ELE_Rxns
ACACT1r,3OAR100,ELE_Rxns,ELE_Rxns
ACACT1r,3OAR40,ELE_Rxns,ELE_Rxns
ACACT1r,3OAR60,ELE_Rxns,ELE_Rxns
ACACT1r,3OAR80,ELE_Rxns,ELE_Rxns
ACACT1r,3OAS100,ELE_Rxns,ELE_Rxns
ACACT1r,3OAS60,ELE_Rxns,ELE_Rxns
ACACT1r,3OAS80,ELE_Rxns,ELE_Rxns
ACACT2r,3HAD100,ELE_Rxns,ELE_Rxns
ACACT2r,3HAD40,ELE_Rxns,ELE_Rxns
ACACT2r,3HAD60,ELE_Rxns,ELE_Rxns
ACACT2r,3HAD80,ELE_Rxns,ELE_Rxns
ACACT2r,3OAR100,ELE_Rxns,ELE_Rxns
ACACT2r,3OAR40,ELE_Rxns,ELE_Rxns
ACACT2r,3OAR60,ELE_Rxns,ELE_Rxns
ACACT2r,3OAR80,ELE_Rxns,ELE_Rxns
ACACT2r,3OAS100,ELE_Rxns,ELE_Rxns
ACACT2r,3OAS60,ELE_Rxns,ELE_Rxns
ACACT2r,3OAS80,ELE_Rxns,ELE_Rxns
ACACT3r,3HAD100,ELE_Rxns,ELE_Rxns
ACACT3r,3HAD40,ELE_Rxns,ELE_Rxns
ACACT3r,3HAD60,ELE_Rxns,ELE_Rxns
ACACT3r,3HAD80,ELE_Rxns,ELE_Rxns
ACACT3r,3OAR100,ELE_Rxns,ELE_Rxns
ACACT3r,3OAR40,ELE_Rxns,ELE_Rxns
ACACT3r,3OAR60,ELE_Rxns,ELE_Rxns
ACACT3r,3OAR80,ELE_Rxns,ELE_Rxns
ACACT3r,3OAS100,ELE_Rxns,ELE_Rxns
ACACT3r,3OAS60,ELE_Rxns,ELE_Rxns
ACACT3r,3OAS80,ELE_Rxns,ELE_Rxns
ACACT4r,3HAD100,ELE_Rxns,ELE_Rxns
ACACT4r,3OAR100,ELE_Rxns,ELE_Rxns
ACACT4r,3OAS100,ELE_Rxns,ELE_Rxns
ACOAD1f,3HAD100,ELE_Rxns,ELE_Rxns
ACOAD1f,3HAD40,ELE_Rxns,ELE_Rxns
ACOAD1f,3HAD60,ELE_Rxns,ELE_Rxns
ACOAD1f,3HAD80,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAR100,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAR40,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAR60,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAR80,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAS100,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAS60,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAS80,ELE_Rxns,ELE_Rxns
ACOAD2f,3HAD100,ELE_Rxns,ELE_Rxns
ACOAD2f,3HAD40,ELE_Rxns,ELE_Rxns
ACOAD2f,3HAD60,ELE_Rxns,ELE_Rxns
ACOAD2f,3HAD80,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAR100,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAR40,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAR60,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAR80,ELE_Rxns,ELE_Rxns
