Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
ADPT,ADD,pFBAOpt_Rxns,MLE_Rxns
ADPT,HXPRT,pFBAOpt_Rxns,MLE_Rxns
ALAD_L,FADOX,pFBAOpt_Rxns,MLE_Rxns
ANS2,ANS,pFBAOpt_Rxns,MLE_Rxns
DHPS,FOLD3,pFBAOpt_Rxns,MLE_Rxns
DHPS,HPPK,pFBAOpt_Rxns,MLE_Rxns
CAT,CCP,pFBAOpt_Rxns,MLE_Rxns
GARFT,FTHFD,pFBAOpt_Rxns,MLE_Rxns
GART,FTHFLi,pFBAOpt_Rxns,ELE_Rxns
HCO3E,H2CO3D2,pFBAOpt_Rxns,ELE_Rxns
HEMEti,CPPPGO,ZeroFlux_Rxns,pFBAOpt_Rxns
HEMEti,FCLT,ZeroFlux_Rxns,pFBAOpt_Rxns
HEMEti,FE2abc,ZeroFlux_Rxns,pFBAOpt_Rxns
HEMEti,GLUTRR,ZeroFlux_Rxns,pFBAOpt_Rxns
HEMEti,GLUTRS,ZeroFlux_Rxns,pFBAOpt_Rxns
HEMEti,G1SAT,ZeroFlux_Rxns,pFBAOpt_Rxns
HEMEti,HMBS,ZeroFlux_Rxns,pFBAOpt_Rxns
HEMEti,PPBNGS,ZeroFlux_Rxns,pFBAOpt_Rxns
HEMEti,PPPGO,ZeroFlux_Rxns,pFBAOpt_Rxns
HEMEti,UPP3S,ZeroFlux_Rxns,pFBAOpt_Rxns
HEMEti,UPPDC1,ZeroFlux_Rxns,pFBAOpt_Rxns
ME1,AKO,pFBAOpt_Rxns,MLE_Rxns
ME1,FADOX,pFBAOpt_Rxns,MLE_Rxns
KAS15,ACOATA,pFBAOpt_Rxns,ELE_Rxns
KAS15,KAS14,pFBAOpt_Rxns,ELE_Rxns
NH4t,ARGSL,pFBAOpt_Rxns,MLE_Rxns
NH4t,ARGSS,pFBAOpt_Rxns,MLE_Rxns
NH4t,OCBT,pFBAOpt_Rxns,MLE_Rxns
NH4t,UREAt,pFBAOpt_Rxns,MLE_Rxns
TKT2,GND,pFBAOpt_Rxns,MLE_Rxns
TKT2,PGL,pFBAOpt_Rxns,MLE_Rxns
TRPS1,TRPS2,pFBAOpt_Rxns,ELE_Rxns
TRPS1,TRPS3,pFBAOpt_Rxns,ELE_Rxns
UREA,UREAt,pFBAOpt_Rxns,MLE_Rxns
URIDK2r,DUTPDP,pFBAOpt_Rxns,MLE_Rxns
RNDR4,DCTPD,pFBAOpt_Rxns,MLE_Rxns
RPE,GND,pFBAOpt_Rxns,MLE_Rxns
RPE,PGL,pFBAOpt_Rxns,MLE_Rxns
ALAR,DALAt2r,pFBAOpt_Rxns,pFBAOpt_Rxns
ATPS4r,ACKr,pFBAOpt_Rxns,pFBAOpt_Rxns
ATPS4r,ACt2r,pFBAOpt_Rxns,pFBAOpt_Rxns
GART,GARFT,pFBAOpt_Rxns,pFBAOpt_Rxns
G3PD2,G3PD1ir,pFBAOpt_Rxns,pFBAOpt_Rxns
HCO3E,H2CO3D,pFBAOpt_Rxns,ELE_Rxns
ME1,FRD5,pFBAOpt_Rxns,pFBAOpt_Rxns
ME1,FUM,pFBAOpt_Rxns,pFBAOpt_Rxns
NH4t,ATPS4r,pFBAOpt_Rxns,pFBAOpt_Rxns
TKT1,TALA,pFBAOpt_Rxns,pFBAOpt_Rxns
TKT2,TALA,pFBAOpt_Rxns,pFBAOpt_Rxns
TKT2,TKT1,pFBAOpt_Rxns,pFBAOpt_Rxns
PTAr,ATPS4r,pFBAOpt_Rxns,pFBAOpt_Rxns
RPE,TALA,pFBAOpt_Rxns,pFBAOpt_Rxns
RPE,TKT1,pFBAOpt_Rxns,pFBAOpt_Rxns
RPE,TKT2,pFBAOpt_Rxns,pFBAOpt_Rxns
