Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
ALATA_L,VPAMTr,pFBAOpt_Rxns,ELE_Rxns
CPPPGO,CPPPGO2,pFBAOpt_Rxns,MLE_Rxns
VALTA,VPAMTr,pFBAOpt_Rxns,ELE_Rxns
IMPD,XPPT,pFBAOpt_Rxns,MLE_Rxns
IMPD,HXAND,pFBAOpt_Rxns,MLE_Rxns
ECOAH4,3OAS100,pFBAOpt_Rxns,MLE_Rxns
ECOAH4,3OAR100,pFBAOpt_Rxns,MLE_Rxns
ECOAH4,3HAD100,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3HAD80,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3HAD40,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3OAS60,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3OAR60,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3OAR80,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3OAS80,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3OAS100,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3OAR40,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3OAR100,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3HAD60,pFBAOpt_Rxns,MLE_Rxns
ECOAH1,3HAD100,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3HAD80,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3HAD40,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3OAS60,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3OAR60,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3OAR80,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3OAS80,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3OAS100,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3OAR40,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3OAR100,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3HAD60,pFBAOpt_Rxns,MLE_Rxns
ECOAH2,3HAD100,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3HAD80,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3HAD40,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3OAS60,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3OAR60,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3OAR80,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3OAS80,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3OAS100,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3OAR40,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3OAR100,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3HAD60,pFBAOpt_Rxns,MLE_Rxns
ECOAH3,3HAD100,pFBAOpt_Rxns,MLE_Rxns
PPC,MALS,pFBAOpt_Rxns,MLE_Rxns
HACD4,3OAS100,pFBAOpt_Rxns,MLE_Rxns
HACD4,3OAR100,pFBAOpt_Rxns,MLE_Rxns
HACD4,3HAD100,pFBAOpt_Rxns,MLE_Rxns
TRPS3,TRPS1,pFBAOpt_Rxns,MLE_Rxns
NDPK2,PYK2,pFBAOpt_Rxns,pFBAOpt_Rxns
NDPK4,PYK6,pFBAOpt_Rxns,pFBAOpt_Rxns
ASNS2,ASNS1,pFBAOpt_Rxns,MLE_Rxns
DMPPS,IPDDI,pFBAOpt_Rxns,ELE_Rxns
IPDPS,IPDDI,pFBAOpt_Rxns,ELE_Rxns
TRDR,GTHOr,pFBAOpt_Rxns,ELE_Rxns
TRDR,PAPSR2,pFBAOpt_Rxns,ELE_Rxns
TRDR,GRXR,pFBAOpt_Rxns,ELE_Rxns
G3PD2,GLYK,pFBAOpt_Rxns,MLE_Rxns
G3PD2,ALCD19,pFBAOpt_Rxns,MLE_Rxns
G3PD2,GAPP,pFBAOpt_Rxns,MLE_Rxns
AACPS3,3OAR160,pFBAOpt_Rxns,MLE_Rxns
AACPS3,3OAS160,pFBAOpt_Rxns,MLE_Rxns
AACPS3,3HAD160,pFBAOpt_Rxns,MLE_Rxns
AACPS4,3OAS161,pFBAOpt_Rxns,MLE_Rxns
AACPS4,3HAD161,pFBAOpt_Rxns,MLE_Rxns
AACPS4,3OAR161,pFBAOpt_Rxns,MLE_Rxns
PRPPS,R1PK,pFBAOpt_Rxns,ELE_Rxns
PRPPS,R15BPK,pFBAOpt_Rxns,ELE_Rxns
PAPSR,GTHOr,pFBAOpt_Rxns,ELE_Rxns
PAPSR,PAPSR2,pFBAOpt_Rxns,ELE_Rxns
PAPSR,GRXR,pFBAOpt_Rxns,ELE_Rxns
GMPS,GMPS2,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3HAD80,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3HAD40,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3OAS60,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3OAR60,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3OAR80,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3OAS80,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3OAS100,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3OAR40,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3OAR100,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3HAD60,pFBAOpt_Rxns,MLE_Rxns
ACACT2r,3HAD100,pFBAOpt_Rxns,MLE_Rxns
ACACT3r,3HAD80,pFBAOpt_Rxns,MLE_Rxns
ACACT3r,3HAD40,pFBAOpt_Rxns,MLE_Rxns
ACACT3r,3OAS60,pFBAOpt_Rxns,MLE_Rxns
ACACT3r,3OAR60,pFBAOpt_Rxns,MLE_Rxns
ACACT3r,3OAR80,pFBAOpt_Rxns,MLE_Rxns
