Type,Rxn_1_Type,Rxn_2_Type,Count,Fraction,Rxn_1_Prod,Rxn_2_Prod
PSL,ELE_Rxns,ELE_Rxns,112,0.6666666666666666,112,112
PSL,MLE_Rxns,MLE_Rxns,1,0.005952380952380952,1,1
PSL,pFBAOpt_Rxns,ELE_Rxns,9,0.05357142857142857,9,9
PSL,pFBAOpt_Rxns,pFBAOpt_Rxns,1,0.005952380952380952,1,1
RSL,ELE_Rxns,ELE_Rxns,17,0.10119047619047619,17,17
RSL,ELE_Rxns,pFBAOpt_Rxns,4,0.023809523809523808,4,4
RSL,pFBAOpt_Rxns,ELE_Rxns,1,0.005952380952380952,1,1
RSL,pFBAOpt_Rxns,Essential_Rxns,2,0.011904761904761904,2,2
RSL,pFBAOpt_Rxns,MLE_Rxns,2,0.011904761904761904,2,2
RSL,pFBAOpt_Rxns,pFBAOpt_Rxns,19,0.1130952380952381,19,19
