Organism,net_diff,median_net_diff
STM_v1_0,-4.455258625299722,-0.00015843317297616432
e_coli_core,-32.547971702166485,-4.113072666899069
iECW_1372,-3.263893122894435,-0.9964861713217656
iIT341,0.023030001242738338,0.011277188678531572
iJO1366,-2.8410976700402557,-0.9963776457177995
iML1515,-2.552473968584542,-0.2965004077409946
iNJ661,-0.19579849589305945,-1.3628350319356347e-05
iPC815,-0.2133550709490696,-1.1536474210332432e-05
iSSON_1240,-0.5821848413727921,-1.3288740698767305
iYL1228,-0.2664221234261813,-9.650286984610085e-07
iYS1720,-0.5068425840409971,-0.16699944351085008
