,Organism,net_diff,median_net_diff,Norm,ms
0,e_coli_core,-31.58983143197441,-3.80099928186436,Zero,2
1,e_coli_core,-32.547971702166485,-4.113072666899069,One,2
2,e_coli_core,-32.05744736173537,-3.796518401141752,Two,2
3,iECW_1372,-3.69342911603148,-2.325134399755856,Zero,2
4,iECW_1372,-3.263893122894435,-0.9964861713217656,One,2
5,iECW_1372,-3.560177443769459,-1.656711281892305,Two,2
6,iIT341,1.2717671972811972,0.0112533361220514,Zero,2
7,iIT341,0.0230300012427383,0.0112771886785315,One,2
8,iIT341,-0.1784549494266926,0.000122097419359,Two,2
9,iJO1366,-3.063812339796824,-0.996377645718216,Zero,2
10,iJO1366,-2.841097670040256,-0.9963776457177996,One,2
11,iJO1366,-3.470933198810796,-1.199361389153633,Two,2
12,iML1515,-2.5796564210174946,-0.3474923459099273,Zero,2
13,iML1515,-2.552473968584542,-0.2965004077409946,One,2
14,iML1515,-3.061543321340688,-0.685840151199809,Two,2
15,iNJ661,-0.163707999101083,-1.3634552578856362e-05,Zero,2
16,iNJ661,-0.1957984958930594,-1.3628350319356347e-05,One,2
17,iNJ661,-0.1893493063149274,-0.0016076209301399,Two,2
18,iPC815,-0.1190121064140925,-1.32765998060235e-05,Zero,2
19,iPC815,-0.2133550709490696,-1.1536474210332432e-05,One,2
20,iPC815,0.0352521410545514,-0.0004811703397898,Two,2
21,iSSON_1240,-1.1007097057144226,-2.325529622290256,Zero,2
22,iSSON_1240,-0.5821848413727921,-1.3288740698767303,One,2
23,iSSON_1240,-0.5518285020270448,-1.2737302792871126,Two,2
24,iYL1228,-0.3485337468312323,-5.167217016074856e-07,Zero,2
25,iYL1228,-0.2664221234261813,-9.650286984610085e-07,One,2
26,iYL1228,0.1392123050384155,-0.0008572820534233,Two,2
27,iYS1720,-0.5402227923405681,-0.3075789709245351,Zero,2
28,iYS1720,-0.5068425840409971,-0.16699944351085,One,2
29,iYS1720,-0.7801902992572741,-0.3604866746018963,Two,2
30,STM_v1_0,-4.353015242840246,-0.0001853310482744,Zero,2
31,STM_v1_0,-4.455258625299722,-0.0001584331729761,One,2
32,STM_v1_0,-4.738515989319875,-0.0017046803620055,Two,2
