,Organism,sl_size,common_sl_size,num_diff,net_diff
0,e_coli_core,48,32,2.0,84.03642933083862
1,e_coli_core,30,24,6.0,-2.423365958986726
2,e_coli_core,10,6,2.0,4.7581852334399795
3,e_coli_core,10,6,2.0,4.7581852334399795
4,e_coli_core,47,30,-1.0,-80.60694808728815
5,e_coli_core,47,30,-1.0,-80.60694808728815
6,e_coli_core,3,0,-1.0,-4.314762087645
7,e_coli_core,56,43,12.0,111.44153951528662
8,e_coli_core,58,42,10.0,121.23322287273014
9,e_coli_core,58,41,8.0,110.72235679462896
10,e_coli_core,58,41,8.0,110.72235679462896
11,e_coli_core,56,43,12.0,111.44153951528662
12,e_coli_core,49,37,-9.0,-157.8460576109693
13,e_coli_core,49,38,-11.0,-166.15315397759545
14,e_coli_core,31,24,13.0,16.25771481718199
15,e_coli_core,31,24,13.0,16.25771481718199
16,e_coli_core,48,34,-6.0,-72.18952399913482
17,e_coli_core,48,31,-4.0,-78.79897121188957
18,e_coli_core,34,25,4.0,-9.568212810312495
19,e_coli_core,53,37,-5.0,-203.44549300376997
20,e_coli_core,56,41,-14.0,-97.54317664288533
21,e_coli_core,48,34,-4.0,-78.57814048350514
22,e_coli_core,34,27,4.0,-9.047404665631252
23,e_coli_core,17,6,3.0,4.113072666899026
24,e_coli_core,57,35,-15.0,-281.6092192120399
25,e_coli_core,58,40,-16.0,-191.302987180713
26,e_coli_core,58,35,-14.0,-197.39889519068996
27,e_coli_core,46,32,-6.0,-9.4684258375175
28,e_coli_core,48,32,-4.0,-78.68933164030739
29,e_coli_core,33,26,5.0,-9.310089494778206
30,e_coli_core,15,3,5.0,2.487261894075396
31,e_coli_core,15,5,-5.0,-2.513978644152586
32,e_coli_core,48,32,-4.0,-78.68933164030739
33,e_coli_core,33,26,5.0,-9.310089494778206
34,e_coli_core,15,3,5.0,2.487261894075396
35,e_coli_core,15,5,-5.0,-2.513978644152586
36,e_coli_core,48,34,-4.0,-78.46721669104502
37,e_coli_core,34,26,2.0,-14.187468064464028
38,e_coli_core,24,14,-4.0,3.073824478492879
39,e_coli_core,17,9,3.0,2.192040631212869
40,e_coli_core,19,9,1.0,3.5437026030672367
41,e_coli_core,19,9,1.0,3.5437026030672367
42,e_coli_core,48,33,8.0,78.09656902644991
43,e_coli_core,47,30,3.0,97.19049311208931
44,e_coli_core,54,38,2.0,200.280212825361
45,e_coli_core,48,33,0.0,96.57478575019039
46,e_coli_core,56,35,14.0,285.86522905697007
47,e_coli_core,47,33,-1.0,82.24447864157305
48,e_coli_core,47,33,-1.0,82.24447864157305
49,e_coli_core,48,33,0.0,96.16548316396995
50,e_coli_core,48,33,8.0,78.09656902644991
51,e_coli_core,47,30,3.0,97.19049311208931
52,e_coli_core,54,38,2.0,200.280212825361
53,e_coli_core,48,33,0.0,96.57478575019039
54,e_coli_core,56,35,14.0,285.86522905697007
55,e_coli_core,47,33,-1.0,82.24447864157305
56,e_coli_core,47,33,-1.0,82.24447864157305
57,e_coli_core,48,33,0.0,96.16548316396995
58,e_coli_core,46,32,-6.0,-3.7852075502849534
59,e_coli_core,48,31,-4.0,-78.79897121188957
60,e_coli_core,34,25,4.0,-9.568212810312495
61,e_coli_core,16,6,-2.0,-3.816791013443766
62,e_coli_core,14,3,-4.0,-2.3399434322735653
63,e_coli_core,14,3,-4.0,-2.3399434322735653
64,e_coli_core,24,14,4.0,-3.073824478492863
65,e_coli_core,47,33,-1.0,-82.13495068504008
66,e_coli_core,47,33,-1.0,-82.13495068504008
67,e_coli_core,48,31,-4.0,-78.79897121188957
68,e_coli_core,34,25,4.0,-9.568212810312495
69,e_coli_core,16,6,-2.0,-3.816791013443766
70,e_coli_core,14,3,-4.0,-2.3399434322735653
71,e_coli_core,14,3,-4.0,-2.3399434322735653
72,e_coli_core,24,14,4.0,-3.073824478492863
73,e_coli_core,47,33,-1.0,-82.13495068504008
74,e_coli_core,47,33,-1.0,-82.13495068504008
75,e_coli_core,55,38,-17.0,-241.94726567139358
76,e_coli_core,55,38,-15.0,-234.85978841680324
77,e_coli_core,55,38,-15.0,-234.85978841680324
78,e_coli_core,22,10,-8.0,-1.8687060984122903
79,e_coli_core,57,34,-7.0,-293.0577555240929
80,e_coli_core,53,44,-17.0,-186.66427303583026
81,e_coli_core,57,34,-7.0,-283.7857788993318
82,e_coli_core,57,34,-7.0,-283.7857788993318
83,e_coli_core,57,35,-15.0,-281.6092192120399
84,e_coli_core,58,40,-16.0,-191.302987180713
85,e_coli_core,58,35,-14.0,-197.39889519068996
86,e_coli_core,56,36,-14.0,-286.1874740952651
87,e_coli_core,56,36,-14.0,-286.1874740952651
