Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod,g_min_Fluxes,g_max_Fluxes,l_min_Fluxes,l_max_Fluxes
PFK,7.47730610417998,7.47748529822998,NADTRHD,0,0.000398209000092464,7.47738196216028,4.95998494457467,55.9114464643711,0,0,-0,NaN,NaN
PGI,4.86063216363993,4.8611100144401,NADTRHD,0,0.000398209000092464,4.86086114649686,4.95998494457467,23.6280676871797,0,0,-0,NaN,NaN
PPC,2.50390980859947,2.50444075393337,ICL,0,0.000398209000505246,2.50430947036873,7.47738196216028,6.27089376883001,0,0,-0,NaN,NaN
PPC,2.50390980859947,2.50444075393337,MALS,0,0.000398209000505246,2.50430947036873,0,6.27089376883001,0,0,-0,NaN,NaN
TPI,7.47730610417989,7.47746538778006,NADTRHD,0,0.000398209000092464,7.47738196216028,4.95998494457467,55.9112975878417,0,0,-0,NaN,NaN
FBA,7.47730610417989,7.47746538778006,NADTRHD,0,0.000398209000092464,0,4.95998494457467,55.9112975878417,0,0,-0,NaN,NaN
GLUDy,-4.54186220334077,-4.54175527685004,GLUSy,0,9.9552249994056e-05,0,-4.76531919319746,20.6280266287487,0,NaN,NaN,0,-0
H2Ot,-29.1758450169,-29.1757786487334,PFL,0,6.63681665695748e-05,0,0,851.227996102825,0,NaN,NaN,0,-0
H2Ot,-29.1758450169,-29.1757786487334,ACALD,-1.47484814760901e-05,0,0,0,851.227996102825,-0,NaN,NaN,0,-0
H2Ot,-29.1758450169,-29.1757786487334,ALCD2x,-1.2845451578869e-05,0,0,0,851.227996102825,-0,NaN,NaN,0,-0
H2Ot,-29.1758450169,-29.1757786487334,ETOHt2r,-1.2845451578869e-05,0,0,0,851.227996102825,-0,NaN,NaN,0,-0
H2Ot,-29.1758450169,-29.1757786487334,FORt,-0.000398208999854432,0,0,22.809833310205,851.227996102825,-0,NaN,NaN,0,-0
NADH16,38.53456334482,38.53472262842,PFL,0,6.63681665695748e-05,0,0,1484.91871009992,0,0,-0,NaN,NaN
NADH16,38.53456334482,38.53472262842,FORt,-0.000398208999854432,0,0,22.809833310205,1484.91871009992,-0,0,-0,NaN,NaN
PDH,9.28246149507998,9.28285970408044,PFL,0,6.63681665695748e-05,0.223461729331828,0,86.1677877673562,0,0,-0,NaN,NaN
PDH,9.28246149507998,9.28285970408044,FORt,-0.000398208999854432,0,0.223461729331828,22.809833310205,86.1677877673562,-0,0,-0,NaN,NaN
