Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
PFK,NADTRHD,pFBAOpt_Rxns,MLE_Rxns
PGI,NADTRHD,pFBAOpt_Rxns,MLE_Rxns
PPC,ICL,pFBAOpt_Rxns,MLE_Rxns
PPC,MALS,pFBAOpt_Rxns,MLE_Rxns
TPI,NADTRHD,pFBAOpt_Rxns,MLE_Rxns
FBA,NADTRHD,pFBAOpt_Rxns,MLE_Rxns
GLUDy,GLUSy,pFBAOpt_Rxns,MLE_Rxns
H2Ot,PFL,pFBAOpt_Rxns,MLE_Rxns
H2Ot,ACALD,pFBAOpt_Rxns,MLE_Rxns
H2Ot,ALCD2x,pFBAOpt_Rxns,MLE_Rxns
H2Ot,ETOHt2r,pFBAOpt_Rxns,MLE_Rxns
H2Ot,FORt,pFBAOpt_Rxns,MLE_Rxns
NADH16,PFL,pFBAOpt_Rxns,MLE_Rxns
NADH16,FORt,pFBAOpt_Rxns,MLE_Rxns
PDH,PFL,pFBAOpt_Rxns,MLE_Rxns
PDH,FORt,pFBAOpt_Rxns,MLE_Rxns
PGI,PFK,pFBAOpt_Rxns,pFBAOpt_Rxns
PGL,PFK,pFBAOpt_Rxns,pFBAOpt_Rxns
PGL,PGI,pFBAOpt_Rxns,pFBAOpt_Rxns
CO2t,PFK,pFBAOpt_Rxns,pFBAOpt_Rxns
CO2t,PPC,pFBAOpt_Rxns,pFBAOpt_Rxns
RPE,PFK,pFBAOpt_Rxns,pFBAOpt_Rxns
RPE,PGI,pFBAOpt_Rxns,pFBAOpt_Rxns
RPE,PGL,pFBAOpt_Rxns,pFBAOpt_Rxns
CYTBD,PFK,pFBAOpt_Rxns,pFBAOpt_Rxns
CYTBD,PGI,pFBAOpt_Rxns,pFBAOpt_Rxns
CYTBD,PPC,pFBAOpt_Rxns,pFBAOpt_Rxns
SUCDi,PPC,pFBAOpt_Rxns,pFBAOpt_Rxns
TALA,PFK,pFBAOpt_Rxns,pFBAOpt_Rxns
