,Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class,Subsystem 1,Subsystem 2
0,ACACT1r,3HAD100,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
1,ACACT1r,3HAD40,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
2,ACACT1r,3HAD60,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
3,ACACT1r,3HAD80,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
4,ACACT1r,3OAR40,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
5,ACACT1r,3OAR60,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
6,ACACT1r,3OAR80,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
7,ACACT1r,3OAS100,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
8,ACACT1r,3OAR100,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
9,ACACT1r,3OAS60,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
10,ACACT1r,3OAS80,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
11,ACACT2r,3HAD100,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
12,ACACT2r,3HAD40,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
13,ACACT2r,3HAD60,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
14,ACACT2r,3HAD80,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
15,ACACT2r,3OAR40,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
16,ACACT2r,3OAR60,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
17,ACACT2r,3OAR80,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
18,ACACT2r,3OAS100,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
19,ACACT2r,3OAR100,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
20,ACACT2r,3OAS60,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
21,ACACT2r,3OAS80,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
22,ACACT3r,3HAD100,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
23,ACACT3r,3HAD40,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
24,ACACT3r,3HAD60,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
25,ACACT3r,3HAD80,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
26,ACACT3r,3OAR40,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
27,ACACT3r,3OAR60,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
28,ACACT3r,3OAR80,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
29,ACACT3r,3OAS100,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
30,ACACT3r,3OAR100,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
31,ACACT3r,3OAS60,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
32,ACACT3r,3OAS80,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
33,ACACT4r,3HAD100,ELE_Rxns,ELE_Rxns,Membrane Lipid Metabolism,Cell Envelope Biosynthesis
