Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
CMCBTFL,VIUB,pFBAOpt_Rxns,MLE_Rxns
CMCBTFU,VIUB,pFBAOpt_Rxns,MLE_Rxns
CTPS1,CTPS2,pFBAOpt_Rxns,MLE_Rxns
AMMQT8,AMMQT8_2,pFBAOpt_Rxns,MLE_Rxns
CYTBD,DHORDi,pFBAOpt_Rxns,MLE_Rxns
CYTK1,NTD4,pFBAOpt_Rxns,MLE_Rxns
DADK,NTPP5,pFBAOpt_Rxns,MLE_Rxns
ASNt2r,ASNS1,pFBAOpt_Rxns,MLE_Rxns
ADK1,ADK2,pFBAOpt_Rxns,ELE_Rxns
DHNPA2r,DHNPA_1,pFBAOpt_Rxns,pFBAOpt_Rxns
DHNPA2r,FOLD3,pFBAOpt_Rxns,pFBAOpt_Rxns
DHNPA2r,HPPK,pFBAOpt_Rxns,pFBAOpt_Rxns
DHPPDA,DHPPDA2,pFBAOpt_Rxns,pFBAOpt_Rxns
DHPPDA,GTPCII2,pFBAOpt_Rxns,pFBAOpt_Rxns
DHPS2,DHNPA_1,pFBAOpt_Rxns,pFBAOpt_Rxns
DHPS2,FOLD3,pFBAOpt_Rxns,pFBAOpt_Rxns
DHPS2,HPPK,pFBAOpt_Rxns,pFBAOpt_Rxns
DMPPS,IPDDI,pFBAOpt_Rxns,ELE_Rxns
FAS160,ETHAt,pFBAOpt_Rxns,MLE_Rxns
FAS160,GPDDA2,pFBAOpt_Rxns,MLE_Rxns
FAS160,LPLIPAL2E160,pFBAOpt_Rxns,MLE_Rxns
FAS160,PLIPA1E160,pFBAOpt_Rxns,MLE_Rxns
FAS181,DESAT18,pFBAOpt_Rxns,ELE_Rxns
FAS181,FACOAL180,pFBAOpt_Rxns,ELE_Rxns
FAS181,FACOAL181,pFBAOpt_Rxns,ELE_Rxns
DHFR_copy2,DHFR_copy1,pFBAOpt_Rxns,pFBAOpt_Rxns
FRD,GLUCYS,pFBAOpt_Rxns,MLE_Rxns
FRD,EGTB,pFBAOpt_Rxns,MLE_Rxns
FRD,EGTC,pFBAOpt_Rxns,MLE_Rxns
FRD,EGTE,pFBAOpt_Rxns,MLE_Rxns
FRD,EGTD,pFBAOpt_Rxns,MLE_Rxns
GLYCt,G3PD1ir,pFBAOpt_Rxns,ELE_Rxns
GLYCt,G3PT,pFBAOpt_Rxns,MLE_Rxns
GLYK,G3PD1ir,pFBAOpt_Rxns,ELE_Rxns
G16MTM2,MANAT2,pFBAOpt_Rxns,pFBAOpt_Rxns
GTPCII,DHPPDA2,pFBAOpt_Rxns,pFBAOpt_Rxns
GTPCII,GTPCII2,pFBAOpt_Rxns,pFBAOpt_Rxns
GHMT2r,ICL,pFBAOpt_Rxns,MLE_Rxns
GLGC,MTI,pFBAOpt_Rxns,ELE_Rxns
GLGC,MAK,pFBAOpt_Rxns,ELE_Rxns
GLGC,GLGE,pFBAOpt_Rxns,ELE_Rxns
HPPK2,DHNPA_1,pFBAOpt_Rxns,pFBAOpt_Rxns
HPPK2,FOLD3,pFBAOpt_Rxns,pFBAOpt_Rxns
HPPK2,HPPK,pFBAOpt_Rxns,pFBAOpt_Rxns
GLU5K,ORNTA,pFBAOpt_Rxns,ELE_Rxns
MI3PP,MI1PS,pFBAOpt_Rxns,pFBAOpt_Rxns
