,Combination,Count,Same,Percentage
0,Heme biosynthesis & Transport,10,False,0.18518518518518517
1,Pentose-Phosphate-Pathway & Pentose-Phosphate-Pathway,10,True,0.18518518518518517
2,Transport & Urea Cycle,4,False,0.07407407407407407
3,Others & Respiratory chain,3,False,0.05555555555555555
4,Others & TCA cycle,3,False,0.05555555555555555
5,Fatty Acid Synthesis & Fatty Acid Synthesis,2,True,0.037037037037037035
6,Folate Biosynthesis & Folate Biosynthesis,2,True,0.037037037037037035
7,IMP Synthesis & THF Metabolism,2,False,0.037037037037037035
8,Others & Others,2,True,0.037037037037037035
9,Respiratory chain & Transport,2,False,0.037037037037037035
10,Transport & Transport,2,True,0.037037037037037035
11,Tryptophan Biosynthesis & Tryptophan Biosynthesis,2,True,0.037037037037037035
12,Alanine Metabolism & Respiratory chain,1,False,0.018518518518518517
13,Alanine Metabolism & Transport,1,False,0.018518518518518517
14,Chorismate Metabolism & Tryptophan Biosynthesis,1,False,0.018518518518518517
15,Glycerolipid Synthesis & Glycerolipid Synthesis,1,True,0.018518518518518517
16,IMP Synthesis & IMP Synthesis,1,True,0.018518518518518517
17,Nucleotide Interconversion & dUTP Biosynthesis,1,False,0.018518518518518517
18,Purine metabolism & Salvage pathway of ATP,1,False,0.018518518518518517
19,ROS Detoxification & ROS Detoxification,1,True,0.018518518518518517
20,Salvage pathway of ATP & Salvage pathway of GTP,1,False,0.018518518518518517
21,dTTP Biosynthesis & dTTP Biosynthesis,1,True,0.018518518518518517
