Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
THRS,THRD_L,pFBAOpt_Rxns,ELE_Rxns
PUNP5,HXPRT,pFBAOpt_Rxns,MLE_Rxns
PIt,PIabc,pFBAOpt_Rxns,MLE_Rxns
PREPTTA,PREPHACPH,pFBAOpt_Rxns,MLE_Rxns
SADT,SADT2,pFBAOpt_Rxns,MLE_Rxns
P5CRx,P5CR,pFBAOpt_Rxns,ELE_Rxns
RPE,PGL,pFBAOpt_Rxns,MLE_Rxns
RPE,G6PDH2r,pFBAOpt_Rxns,MLE_Rxns
RPE,GND,pFBAOpt_Rxns,MLE_Rxns
TRPS1,TRPS3,pFBAOpt_Rxns,ELE_Rxns
TRPS1,TRPS2,pFBAOpt_Rxns,ELE_Rxns
MANAT2,G16MTM2,pFBAOpt_Rxns,pFBAOpt_Rxns
IPDPS,IPDDI,pFBAOpt_Rxns,ELE_Rxns
MAN1PT2,MAN1PT,pFBAOpt_Rxns,MLE_Rxns
TKT2,PGL,pFBAOpt_Rxns,MLE_Rxns
TKT2,G6PDH2r,pFBAOpt_Rxns,MLE_Rxns
TKT2,GND,pFBAOpt_Rxns,MLE_Rxns
UMPK_copy1,UMPK_copy2,pFBAOpt_Rxns,pFBAOpt_Rxns
HSST,THRD_L,pFBAOpt_Rxns,ELE_Rxns
HSK,THRD_L,pFBAOpt_Rxns,ELE_Rxns
GLU5K,ORNTA,pFBAOpt_Rxns,ELE_Rxns
HSDxi,HSDy,pFBAOpt_Rxns,ELE_Rxns
GLCabc,FBP,pFBAOpt_Rxns,MLE_Rxns
ORNTAC,ACODA,pFBAOpt_Rxns,MLE_Rxns
ORNTAC,ACGS,pFBAOpt_Rxns,MLE_Rxns
DMPPS,IPDDI,pFBAOpt_Rxns,ELE_Rxns
CYTK2,NTPP3,pFBAOpt_Rxns,MLE_Rxns
CYTK2,NDPK7,pFBAOpt_Rxns,MLE_Rxns
CTPS1,CTPS2,pFBAOpt_Rxns,MLE_Rxns
DCPT,DCPT2,pFBAOpt_Rxns,pFBAOpt_Rxns
DCPT,DCPDPP2,pFBAOpt_Rxns,pFBAOpt_Rxns
DCPT,ARI,pFBAOpt_Rxns,pFBAOpt_Rxns
DCPE,DCPT2,pFBAOpt_Rxns,pFBAOpt_Rxns
DCPE,DCPDPP2,pFBAOpt_Rxns,pFBAOpt_Rxns
DCPE,ARI,pFBAOpt_Rxns,pFBAOpt_Rxns
DCPDPP,DCPT2,pFBAOpt_Rxns,pFBAOpt_Rxns
DCPDPP,DCPDPP2,pFBAOpt_Rxns,pFBAOpt_Rxns
DCPDPP,ARI,pFBAOpt_Rxns,pFBAOpt_Rxns
DADK,NTPP5,pFBAOpt_Rxns,MLE_Rxns
DADK,NDPK8,pFBAOpt_Rxns,MLE_Rxns
ARGDr,ARGSS,pFBAOpt_Rxns,MLE_Rxns
ARGDr,ARGSL,pFBAOpt_Rxns,MLE_Rxns
FACOALPREPH,PREPHACPH,pFBAOpt_Rxns,MLE_Rxns
FACOAL181,DESAT18,pFBAOpt_Rxns,ELE_Rxns
FACOAL181,FACOAL180,pFBAOpt_Rxns,ELE_Rxns
FAS181,DESAT18,pFBAOpt_Rxns,ELE_Rxns
FAS181,FACOAL180,pFBAOpt_Rxns,ELE_Rxns
FAS161,DESAT16,pFBAOpt_Rxns,ELE_Rxns
FAS161,FACOAL161,pFBAOpt_Rxns,ELE_Rxns
ALATA_L,MMSAD3,pFBAOpt_Rxns,MLE_Rxns
ALATA_L,ASP1DC,pFBAOpt_Rxns,MLE_Rxns
ALATA_L,APATr,pFBAOpt_Rxns,MLE_Rxns
AIRCr,AIRC3,pFBAOpt_Rxns,MLE_Rxns
AIRCr,AIRC2,pFBAOpt_Rxns,MLE_Rxns
PGK,PGM,pFBAOpt_Rxns,pFBAOpt_Rxns
RPE,TALA,pFBAOpt_Rxns,pFBAOpt_Rxns
TKT2,TALA,pFBAOpt_Rxns,pFBAOpt_Rxns
TKT2,RPE,pFBAOpt_Rxns,pFBAOpt_Rxns
TKT1,RPE,pFBAOpt_Rxns,pFBAOpt_Rxns
TKT1,TKT2,pFBAOpt_Rxns,pFBAOpt_Rxns
GLUt2r,ICDHyr,pFBAOpt_Rxns,pFBAOpt_Rxns
HSST,THRS,pFBAOpt_Rxns,pFBAOpt_Rxns
HSST,SHSL4r,pFBAOpt_Rxns,pFBAOpt_Rxns
HSK,HSST,pFBAOpt_Rxns,pFBAOpt_Rxns
GLCabc,PGI,pFBAOpt_Rxns,pFBAOpt_Rxns
GAPD,PGM,pFBAOpt_Rxns,pFBAOpt_Rxns
NH4t,GLUt2r,pFBAOpt_Rxns,pFBAOpt_Rxns
ENO,PGK,pFBAOpt_Rxns,pFBAOpt_Rxns
ENO,GAPD,pFBAOpt_Rxns,pFBAOpt_Rxns
DMPPS,IPDPS,pFBAOpt_Rxns,pFBAOpt_Rxns
GLYK,G3PD1ir,pFBAOpt_Rxns,pFBAOpt_Rxns
FBA,GLCabc,pFBAOpt_Rxns,pFBAOpt_Rxns
FAS181,FACOAL181,pFBAOpt_Rxns,pFBAOpt_Rxns
ACONT,GLUt2r,pFBAOpt_Rxns,pFBAOpt_Rxns
AICART,AICART2,pFBAOpt_Rxns,pFBAOpt_Rxns
