,Var1,Var2,Subsystem 1,Subsystem 2
0,GARFT,GART,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
1,GARFT,PFL,Purine and Pyrimidine Biosynthesis,Pyruvate Metabolism
2,GHMT2r,PGCD,Glycine and Serine Metabolism,Glycine and Serine Metabolism
3,GHMT2r,PSERT,Glycine and Serine Metabolism,Glycine and Serine Metabolism
4,GHMT2r,PSP_L,Glycine and Serine Metabolism,Glycine and Serine Metabolism
5,3HAD120,AACPS7,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
6,3HAD120,FACOAE120,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
7,3HAD120,ECOAH6,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
8,3HAD120,HACD6i,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
9,3HAD120,ACACT9,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
10,3HAD140,AACPS1,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
11,3HAD140,FACOAE140,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
12,3HAD160,AACPS3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
13,3HAD160,FACOAE160,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
14,3OAR120,AACPS7,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
15,3OAR120,FACOAE120,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
16,3OAR120,ECOAH6,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
17,3OAR120,HACD6i,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
18,3OAR120,ACACT9,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
19,3OAR160,AACPS3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
20,3OAR160,FACOAE160,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
21,3OAS120,AACPS7,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
22,3OAS120,FACOAE120,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
23,3OAS120,ECOAH6,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
24,3OAS120,HACD6i,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
25,3OAS120,ACACT9,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
26,3OAS160,AACPS3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
27,3OAS160,FACOAE160,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
28,ASNS2,ASNS1,Alanine and Aspartate Metabolism,Alanine and Aspartate Metabolism
29,CYSabcpp,CYSS,Transport; Inner Membrane,Cysteine Metabolism
30,CYSabcpp,SERAT,Transport; Inner Membrane,Cysteine Metabolism
31,CYSabcpp,SULR,Transport; Inner Membrane,Cysteine Metabolism
32,CYSabcpp,SO4tex,Transport; Inner Membrane,Transport; Outer Membrane Porin
33,CYSabcpp,SULabcpp,Transport; Inner Membrane,Inorganic Ion Transport and Metabolism
34,CYSabcpp,PAPSSH,Transport; Inner Membrane,Sulfur Metabolism
35,CYStex,CYSS,Transport; Outer Membrane Porin,Cysteine Metabolism
36,CYStex,SERAT,Transport; Outer Membrane Porin,Cysteine Metabolism
