Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod,g_min_Fluxes,g_max_Fluxes,l_min_Fluxes,l_max_Fluxes
AACPS3,0,220.349437128937,3HAD160,0,30.5626919721627,0,0,0,0,0,-1.47515333281945e-11,NaN,NaN
AACPS3,0,220.349437128937,3OAR160,0,30.5626919721626,0,0,0,0,0,-1.47792889038101e-11,NaN,NaN
AACPS3,0,220.349437128937,3OAS160,0,30.5626919721627,0,0,0,0,0,-1.47515333281945e-11,NaN,NaN
AACPS4,0,220.350557344221,3HAD161,0,30.5630906928575,0,0,0,0,0,-1.47937218031302e-12,NaN,NaN
AACPS4,0,220.350557344221,3OAR161,0,30.5630906928575,0,0,0,0,0,-1.47937218031302e-12,NaN,NaN
AACPS4,0,220.350557344221,3OAS161,0,30.5630906928575,0,0,0,0,0,-1.47937218031302e-12,NaN,NaN
AACPS7,0,220.346990146337,3HAD120,0,30.561821012261,0,0,0,0,0,-0,NaN,NaN
AACPS7,0,220.346990146337,3OAR120,0,30.5618210122611,0,0,0,0,0,-0,NaN,NaN
AACPS7,0,220.346990146337,3OAS120,0,30.561821012261,0,0,0,0,0,-0,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3HAD100,0,18.589148863131,0,0,-1,0,0,-4.70138996226761e-12,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3HAD40,0,8.88249970307271,0,-0.0157822625544668,-1,0,0,-9.00982066731615e-12,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3HAD60,0,8.88249970307039,0,0,-1,0,0,2.9403701695685e-12,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3HAD80,0,8.88249970307277,0,0,-1,0,0,-5.7594623514845e-12,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3OAR100,0,18.589148863131,0,0,-1,0,0,-4.66116034658626e-12,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3OAR40,0,8.88249970307277,0,0,-1,0,0,-8.98126018000767e-12,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3OAR60,0,8.88249970307038,0,0,-1,0,0,2.95585778076202e-12,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3OAR80,0,8.88249970307277,0,0,-1,0,0,-5.79802872380242e-12,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3OAS100,0,18.589148863131,0,0,-1,0,0,-4.70138996226761e-12,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3OAS60,0,8.88249970307039,0,0,-1,0,0,2.9403701695685e-12,NaN,NaN
ACACT1r,-8.86501451794118,7.25139332381457,3OAS80,0,8.88249970307277,0,0,-1,0,0,-5.7594623514845e-12,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3HAD100,0,18.589148863131,0,0,-1,0,0,-0,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3HAD40,0,8.88249970307271,0,-0.0157822625544668,-1,0,0,-1.07852338171455e-11,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3HAD60,0,8.88249970307039,0,0,-1,0,0,8.97171226199589e-13,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3HAD80,0,8.88249970307277,0,0,-1,0,0,-9.49004763661776e-12,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3OAR100,0,18.589148863131,0,0,-1,0,0,-0,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3OAR40,0,8.88249970307277,0,0,-1,0,0,-1.08002495835535e-11,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3OAR60,0,8.88249970307038,0,0,-1,0,0,9.09494701772928e-13,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3OAR80,0,8.88249970307277,0,0,-1,0,0,-9.43600753089413e-12,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3OAS100,0,18.589148863131,0,0,-1,0,0,-0,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3OAS60,0,8.88249970307039,0,0,-1,0,0,8.97171226199589e-13,NaN,NaN
ACACT2r,-8.86501451794118,7.25139332381457,3OAS80,0,8.88249970307277,0,0,-1,0,0,-9.49004763661776e-12,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3HAD100,0,18.589148863131,0,0,-1,0,0,-1.42476030973171e-11,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3HAD40,0,8.88249970307271,0,-0.0157822625544668,-1,0,0,-2.1085355683681e-12,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3HAD60,0,8.88249970307039,0,0,-1,0,0,-2.5631718969521e-12,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3HAD80,0,8.88249970307277,0,0,-1,0,0,-5.73230352074461e-12,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3OAR100,0,18.589148863131,0,0,-1,0,0,-1.4210854715202e-11,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3OAR40,0,8.88249970307277,0,0,-1,0,0,-2.1600499167107e-12,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3OAR60,0,8.88249970307038,0,0,-1,0,0,-2.61479726759717e-12,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3OAR80,0,8.88249970307277,0,0,-1,0,0,-5.6843418860808e-12,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3OAS100,0,18.589148863131,0,0,-1,0,0,-1.42476030973171e-11,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3OAS60,0,8.88249970307039,0,0,-1,0,0,-2.5631718969521e-12,NaN,NaN
ACACT3r,-8.86501451793981,2.39740744368908,3OAS80,0,8.88249970307277,0,0,-1,0,0,-5.73230352074461e-12,NaN,NaN
ACACT4r,-18.5716636780029,2.39740744368908,3HAD100,0,18.589148863131,0,0,-1,0,0,6.46138698101595e-12,NaN,NaN
ACACT4r,-18.5716636780029,2.39740744368908,3OAR100,0,18.589148863131,0,0,-1,0,0,6.48014975013211e-12,NaN,NaN
ACACT4r,-18.5716636780029,2.39740744368908,3OAS100,0,18.589148863131,0,0,-1,0,0,6.46138698101595e-12,NaN,NaN
ACOAD1f,-7.25139332381457,8.86501451794118,3HAD100,0,18.589148863131,0,0,-1,0,NaN,NaN,0,-0
ACOAD1f,-7.25139332381457,8.86501451794118,3HAD40,0,8.88249970307271,0,-0.0157822625544668,-1,0,NaN,NaN,0,-1.07852338171455e-11
ACOAD1f,-7.25139332381457,8.86501451794118,3HAD60,0,8.88249970307039,0,0,-1,0,NaN,NaN,0,8.97171226199589e-13
ACOAD1f,-7.25139332381457,8.86501451794118,3HAD80,0,8.88249970307277,0,0,-1,0,NaN,NaN,0,-9.49004763661776e-12
ACOAD1f,-7.25139332381457,8.86501451794118,3OAR100,0,18.589148863131,0,0,-1,0,NaN,NaN,0,-0
ACOAD1f,-7.25139332381457,8.86501451794118,3OAR40,0,8.88249970307277,0,0,-1,0,NaN,NaN,0,-1.08002495835535e-11
ACOAD1f,-7.25139332381457,8.86501451794118,3OAR60,0,8.88249970307038,0,0,-1,0,NaN,NaN,0,9.09494701772928e-13
ACOAD1f,-7.25139332381457,8.86501451794118,3OAR80,0,8.88249970307277,0,0,-1,0,NaN,NaN,0,-9.43600753089413e-12
ACOAD1f,-7.25139332381457,8.86501451794118,3OAS100,0,18.589148863131,0,0,-1,0,NaN,NaN,0,-0
ACOAD1f,-7.25139332381457,8.86501451794118,3OAS60,0,8.88249970307039,0,0,-1,0,NaN,NaN,0,8.97171226199589e-13
ACOAD1f,-7.25139332381457,8.86501451794118,3OAS80,0,8.88249970307277,0,0,-1,0,NaN,NaN,0,-9.49004763661776e-12
ACOAD2f,-7.25139332381457,8.86501451794118,3HAD100,0,18.589148863131,0,0,-1,0,NaN,NaN,0,-0
ACOAD2f,-7.25139332381457,8.86501451794118,3HAD40,0,8.88249970307271,0,-0.0157822625544668,-1,0,NaN,NaN,0,-1.07852338171455e-11
ACOAD2f,-7.25139332381457,8.86501451794118,3HAD60,0,8.88249970307039,0,0,-1,0,NaN,NaN,0,8.97171226199589e-13
ACOAD2f,-7.25139332381457,8.86501451794118,3HAD80,0,8.88249970307277,0,0,-1,0,NaN,NaN,0,-9.49004763661776e-12
ACOAD2f,-7.25139332381457,8.86501451794118,3OAR100,0,18.589148863131,0,0,-1,0,NaN,NaN,0,-0
ACOAD2f,-7.25139332381457,8.86501451794118,3OAR40,0,8.88249970307277,0,0,-1,0,NaN,NaN,0,-1.08002495835535e-11
ACOAD2f,-7.25139332381457,8.86501451794118,3OAR60,0,8.88249970307038,0,0,-1,0,NaN,NaN,0,9.09494701772928e-13
ACOAD2f,-7.25139332381457,8.86501451794118,3OAR80,0,8.88249970307277,0,0,-1,0,NaN,NaN,0,-9.43600753089413e-12
ACOAD2f,-7.25139332381457,8.86501451794118,3OAS100,0,18.589148863131,0,0,-1,0,NaN,NaN,0,-0
ACOAD2f,-7.25139332381457,8.86501451794118,3OAS60,0,8.88249970307039,0,0,-1,0,NaN,NaN,0,8.97171226199589e-13
ACOAD2f,-7.25139332381457,8.86501451794118,3OAS80,0,8.88249970307277,0,0,-1,0,NaN,NaN,0,-9.49004763661776e-12
ACOAD3f,-2.39740744368908,8.86501451793981,3HAD100,0,18.589148863131,45.618326037541,0,-1,0,NaN,NaN,0,-0
ACOAD3f,-2.39740744368908,8.86501451793981,3HAD40,0,8.88249970307271,45.618326037541,-0.0157822625544668,-1,0,NaN,NaN,0,-5.94620186422645e-12
ACOAD3f,-2.39740744368908,8.86501451793981,3HAD60,0,8.88249970307039,45.618326037541,0,-1,0,NaN,NaN,0,-8.78594419440049e-12
ACOAD3f,-2.39740744368908,8.86501451793981,3HAD80,0,8.88249970307277,45.618326037541,0,-1,0,NaN,NaN,0,-7.06346092727017e-12
ACOAD3f,-2.39740744368908,8.86501451793981,3OAR100,0,18.589148863131,45.618326037541,0,-1,0,NaN,NaN,0,-0
ACOAD3f,-2.39740744368908,8.86501451793981,3OAR40,0,8.88249970307277,45.618326037541,0,-1,0,NaN,NaN,0,-5.91171556152403e-12
ACOAD3f,-2.39740744368908,8.86501451793981,3OAR60,0,8.88249970307038,45.618326037541,0,-1,0,NaN,NaN,0,-8.75388650456443e-12
ACOAD3f,-2.39740744368908,8.86501451793981,3OAR80,0,8.88249970307277,45.618326037541,0,-1,0,NaN,NaN,0,-7.04858393874019e-12
ACOAD3f,-2.39740744368908,8.86501451793981,3OAS100,0,18.589148863131,45.618326037541,0,-1,0,NaN,NaN,0,-0
ACOAD3f,-2.39740744368908,8.86501451793981,3OAS60,0,8.88249970307039,45.618326037541,0,-1,0,NaN,NaN,0,-8.78594419440049e-12
ACOAD3f,-2.39740744368908,8.86501451793981,3OAS80,0,8.88249970307277,45.618326037541,0,-1,0,NaN,NaN,0,-7.06346092727017e-12
ACOAD4f,-2.39740744368908,18.5716636780029,3HAD100,0,18.589148863131,0,0,-1,0,NaN,NaN,0,-3.97948340946641e-12
ACOAD4f,-2.39740744368908,18.5716636780029,3OAR100,0,18.589148863131,0,0,-1,0,NaN,NaN,0,-3.97903932025656e-12
ACOAD4f,-2.39740744368908,18.5716636780029,3OAS100,0,18.589148863131,0,0,-1,0,NaN,NaN,0,-3.97948340946641e-12
ASNS2,0,220.355010052604,ASNS1,0,110.17750502632,0,0,0,0,0,5.11768405431212e-11,NaN,NaN
CBMKr,-110.140797609913,40.3693361541882,CBPS,0,110.171583239052,0,0.0764733703402406,-1,0,0,-8.38884517406768e-12,NaN,NaN
