Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod,g_min_Fluxes,g_max_Fluxes,l_min_Fluxes,l_max_Fluxes
3OAS120,0,16.8577491238619,AACPS7,0,115.820326242256,0.271711331972902,0.271711331972938,0,0,0,-0,NaN,NaN
3OAS120,0,16.8577491238619,FACOAE120,0,44.1220290446693,0.271711331972902,0,0,0,0,-6.41762198938522e-11,NaN,NaN
3OAS120,0,16.8577491238619,ECOAH6,-16.8518667554808,0,0.271711331972902,0,0,-0,0,-0,NaN,NaN
3OAS120,0,16.8577491238619,HACD6i,0,16.8518667554809,0.271711331972902,0,0,0,0,-0,NaN,NaN
3OAS120,0,16.8577491238619,ACACT9,0,16.8518667554809,0.271711331972902,0,0,0,0,-0,NaN,NaN
3OAS160,0,16.8523050421605,AACPS3,0,115.820326242244,0,0,0,0,0,3.9324099532223e-12,NaN,NaN
3OAS160,0,16.8523050421605,FACOAE160,0,44.1220290446685,0,0,0,0,0,-2.36239638962132e-11,NaN,NaN
3HAD120,0,16.8577491238619,AACPS7,0,115.820326242256,0,0.271711331972938,0,0,0,-0,NaN,NaN
3HAD120,0,16.8577491238619,FACOAE120,0,44.1220290446693,0,0,0,0,0,-6.41762198938522e-11,NaN,NaN
3HAD120,0,16.8577491238619,ECOAH6,-16.8518667554808,0,0,0,0,-0,0,-0,NaN,NaN
3HAD120,0,16.8577491238619,HACD6i,0,16.8518667554809,0,0,0,0,0,-0,NaN,NaN
3HAD120,0,16.8577491238619,ACACT9,0,16.8518667554809,0,0,0,0,0,-0,NaN,NaN
3HAD140,0,16.8534951649036,FACOAE140,0,44.1228393225592,0,0,0,0,0,-0,NaN,NaN
3HAD160,0,16.8523050421605,AACPS3,0,115.820326242244,0,0,0,0,0,3.9324099532223e-12,NaN,NaN
3HAD160,0,16.8523050421605,FACOAE160,0,44.1220290446685,0,0,0,0,0,-2.36239638962132e-11,NaN,NaN
ACHBS,0,7.64152291482662,ACLS_a,0,7.64152291482662,0.319047074381075,0,0,0,0,0.20748486209758,0.207484862097496,0.207484862097406
ACHBS,0,7.64152291482662,ilvg,0,7.64152291482662,0.319047074381075,0,0,0,0,0.20748486209758,0.207484862097496,0.207484862097406
3OAR120,0,16.8577491238618,AACPS7,0,115.820326242256,0,0.271711331972938,0,0,0,-0,NaN,NaN
3OAR120,0,16.8577491238618,FACOAE120,0,44.1220290446693,0,0,0,0,0,-6.41762198938522e-11,NaN,NaN
3OAR120,0,16.8577491238618,ECOAH6,-16.8518667554808,0,0,0,0,-0,0,-0,NaN,NaN
3OAR120,0,16.8577491238618,HACD6i,0,16.8518667554809,0,0,0,0,0,-0,NaN,NaN
3OAR120,0,16.8577491238618,ACACT9,0,16.8518667554809,0,0,0,0,0,-0,NaN,NaN
3OAR160,0,16.8523050421604,AACPS3,0,115.820326242244,0,0,0,0,0,3.9324099532223e-12,NaN,NaN
3OAR160,0,16.8523050421604,FACOAE160,0,44.1220290446685,0,0,0,0,0,-2.36239638962132e-11,NaN,NaN
ACONTa,-13.3397586289327,39.6070548273476,FGLU,0,14.0157674785579,0,0,-1,0,0,-1.12047315870001e-11,NaN,NaN
ACONTa,-13.3397586289327,39.6070548273476,FORAMD,0,14.0157674785579,0,-48.2595357728449,-1,0,0,-1.12047315870001e-11,NaN,NaN
ACONTa,-13.3397586289327,39.6070548273476,HISDr,0,14.0157674785579,0,0,-1,0,0,-1.125499693444e-11,NaN,NaN
ACONTa,-13.3397586289327,39.6070548273476,IZPN,0,14.0157674785579,0,0,-1,0,0,-1.12047315870001e-11,NaN,NaN
ACONTa,-13.3397586289327,39.6070548273476,URCN,0,14.0157674785579,0,0.0229380249555021,-1,0,0,-1.12047315870001e-11,NaN,NaN
ACONTb,-13.3397586289327,39.6070548273476,FGLU,0,14.0157674785579,0,0,-1,0,0,-1.12047315870001e-11,NaN,NaN
ACONTb,-13.3397586289327,39.6070548273476,FORAMD,0,14.0157674785579,0,-48.2595357728449,-1,0,0,-1.12047315870001e-11,NaN,NaN
ACONTb,-13.3397586289327,39.6070548273476,HISDr,0,14.0157674785579,0,0,-1,0,0,-1.125499693444e-11,NaN,NaN
ACONTb,-13.3397586289327,39.6070548273476,IZPN,0,14.0157674785579,0,0,-1,0,0,-1.12047315870001e-11,NaN,NaN
