,Var1,Var2,Subsystem 1,Subsystem 2
0,3OAS120,AACPS7,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
1,3OAS120,FACOAE120,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
2,3OAS120,ECOAH6,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
3,3OAS120,HACD6i,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
4,3OAS120,ACACT9,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
5,3OAS160,AACPS3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
6,3OAS160,FACOAE160,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
7,3HAD120,AACPS7,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
8,3HAD120,FACOAE120,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
9,3HAD120,ECOAH6,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
10,3HAD120,HACD6i,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
11,3HAD120,ACACT9,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
12,3HAD140,FACOAE140,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
13,3HAD160,AACPS3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
14,3HAD160,FACOAE160,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
15,ACHBS,ACLS_a,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism"
16,ACHBS,ilvg,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism"
17,3OAR120,AACPS7,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
18,3OAR120,FACOAE120,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
19,3OAR120,ECOAH6,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
20,3OAR120,HACD6i,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
21,3OAR120,ACACT9,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
22,3OAR160,AACPS3,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
23,3OAR160,FACOAE160,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
24,ACONTa,FGLU,Citric Acid Cycle,Histidine Metabolism
25,ACONTa,FORAMD,Citric Acid Cycle,Histidine Metabolism
26,ACONTa,HISDr,Citric Acid Cycle,Histidine Metabolism
27,ACONTa,IZPN,Citric Acid Cycle,Histidine Metabolism
28,ACONTa,URCN,Citric Acid Cycle,Histidine Metabolism
29,ACONTb,FGLU,Citric Acid Cycle,Histidine Metabolism
30,ACONTb,FORAMD,Citric Acid Cycle,Histidine Metabolism
31,ACONTb,HISDr,Citric Acid Cycle,Histidine Metabolism
32,ACONTb,IZPN,Citric Acid Cycle,Histidine Metabolism
33,ACONTb,URCN,Citric Acid Cycle,Histidine Metabolism
34,ASNS2,ASNS1,Alanine and Aspartate Metabolism,Alanine and Aspartate Metabolism
35,CS,FGLU,Citric Acid Cycle,Histidine Metabolism
36,CS,FORAMD,Citric Acid Cycle,Histidine Metabolism
37,CS,HISDr,Citric Acid Cycle,Histidine Metabolism
38,CS,IZPN,Citric Acid Cycle,Histidine Metabolism
39,CS,URCN,Citric Acid Cycle,Histidine Metabolism
