,Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class,Subsystem 1,Subsystem 2
0,3OAS120,AACPS7,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
1,3OAS120,FACOAE120,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
2,3OAS120,ECOAH6,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
3,3OAS120,HACD6i,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
4,3OAS120,ACACT9,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
5,3OAS160,AACPS3,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
6,3OAS160,FACOAE160,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
7,3HAD120,AACPS7,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
8,3HAD120,FACOAE120,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
9,3HAD120,ECOAH6,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
10,3HAD120,HACD6i,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
11,3HAD120,ACACT9,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Membrane Lipid Metabolism
12,3HAD140,FACOAE140,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
13,3HAD160,AACPS3,pFBAOpt_Rxns,MLE_Rxns,Cell Envelope Biosynthesis,Cell Envelope Biosynthesis
