Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
3OAS180,AACPS6,ELE_Rxns,ELE_Rxns
3OAS180,ACOAD8f,ELE_Rxns,ELE_Rxns
3OAS180,FACOAE180,ELE_Rxns,ELE_Rxns
3OAS180,FACOAL181t2pp,ELE_Rxns,ELE_Rxns
3OAS181,AACPS5,ELE_Rxns,ELE_Rxns
3OAS181,ACOAD8f,ELE_Rxns,ELE_Rxns
3OAS181,FACOAE181,ELE_Rxns,ELE_Rxns
3OAS181,FACOAL180t2pp,ELE_Rxns,ELE_Rxns
3OAS181,CTECOAI8_copy2,ELE_Rxns,ELE_Rxns
AACPS1,3HAD140,ELE_Rxns,ELE_Rxns
AACPS3,3OAS160,ELE_Rxns,ELE_Rxns
AACPS3,3HAD160,ELE_Rxns,ELE_Rxns
AACPS3,3OAR160,ELE_Rxns,ELE_Rxns
AACPS4,3OAS161,ELE_Rxns,ELE_Rxns
AACPS4,3HAD161,ELE_Rxns,ELE_Rxns
AACPS4,3OAR161,ELE_Rxns,ELE_Rxns
AACPS7,3OAS120,ELE_Rxns,ELE_Rxns
AACPS7,3HAD120,ELE_Rxns,ELE_Rxns
AACPS7,3OAR120,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAR60,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAR80,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAS100,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAS60,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAS80,ELE_Rxns,ELE_Rxns
ACOAD1f,3HAD100,ELE_Rxns,ELE_Rxns
ACOAD1f,3HAD40,ELE_Rxns,ELE_Rxns
ACOAD1f,3HAD60,ELE_Rxns,ELE_Rxns
ACOAD1f,3HAD80,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAR100,ELE_Rxns,ELE_Rxns
ACOAD1f,3OAR40,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAR60,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAR80,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAS100,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAS60,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAS80,ELE_Rxns,ELE_Rxns
ACOAD2f,3HAD100,ELE_Rxns,ELE_Rxns
ACOAD2f,3HAD40,ELE_Rxns,ELE_Rxns
ACOAD2f,3HAD60,ELE_Rxns,ELE_Rxns
ACOAD2f,3HAD80,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAR100,ELE_Rxns,ELE_Rxns
ACOAD2f,3OAR40,ELE_Rxns,ELE_Rxns
ACOAD3f,3OAR60,ELE_Rxns,ELE_Rxns
ACOAD3f,3OAR80,ELE_Rxns,ELE_Rxns
ACOAD3f,3OAS100,ELE_Rxns,ELE_Rxns
ACOAD3f,3OAS60,ELE_Rxns,ELE_Rxns
ACOAD3f,3OAS80,ELE_Rxns,ELE_Rxns
ACOAD3f,3HAD100,ELE_Rxns,ELE_Rxns
ACOAD3f,3HAD40,ELE_Rxns,ELE_Rxns
ACOAD3f,3HAD60,ELE_Rxns,ELE_Rxns
ACOAD3f,3HAD80,ELE_Rxns,ELE_Rxns
ACOAD3f,3OAR100,ELE_Rxns,ELE_Rxns
ACOAD3f,3OAR40,ELE_Rxns,ELE_Rxns
ACOAD4f,3OAS100,ELE_Rxns,ELE_Rxns
ACOAD4f,3HAD100,ELE_Rxns,ELE_Rxns
ACOAD4f,3OAR100,ELE_Rxns,ELE_Rxns
ADK1,ADK3,ELE_Rxns,ELE_Rxns
ATPM,pa2_ST,pFBAOpt_Rxns,Essential_Rxns
ATPM,ps2_ST,pFBAOpt_Rxns,Essential_Rxns
COLIPAtex,COLIPAabctex,ELE_Rxns,ELE_Rxns
DHORD2,DHORD5,ELE_Rxns,ELE_Rxns
DKMPPD3,DKMPPD,MLE_Rxns,MLE_Rxns
FACOAE120,3OAS120,ELE_Rxns,ELE_Rxns
FACOAE120,3HAD120,ELE_Rxns,ELE_Rxns
FACOAE120,3OAR120,ELE_Rxns,ELE_Rxns
FACOAE140,3HAD140,ELE_Rxns,ELE_Rxns
FACOAE160,3OAS160,ELE_Rxns,ELE_Rxns
FACOAE160,3HAD160,ELE_Rxns,ELE_Rxns
FACOAE160,3OAR160,ELE_Rxns,ELE_Rxns
FACOAE161,3OAS161,ELE_Rxns,ELE_Rxns
FACOAE161,3HAD161,ELE_Rxns,ELE_Rxns
FACOAE161,3OAR161,ELE_Rxns,ELE_Rxns
G5SD,NACODA,ELE_Rxns,ELE_Rxns
GARFT,GART,ELE_Rxns,ELE_Rxns
GLCtex_copy2,GLCtex_copy1,pFBAOpt_Rxns,pFBAOpt_Rxns
GLU5K,NACODA,ELE_Rxns,ELE_Rxns
GLYCtpp,GLYCtex,ELE_Rxns,ELE_Rxns
MTHFC,GART,ELE_Rxns,ELE_Rxns
MTHFD,GART,ELE_Rxns,ELE_Rxns
NDPK1,ADK3,ELE_Rxns,ELE_Rxns
O2tex,DHORD5,pFBAOpt_Rxns,ELE_Rxns
O2tex,SUCCt3pp,pFBAOpt_Rxns,ELE_Rxns
O2tex,SUCCtex,pFBAOpt_Rxns,ELE_Rxns
O2tex,FRD2,pFBAOpt_Rxns,ELE_Rxns
O2tpp,DHORD5,pFBAOpt_Rxns,ELE_Rxns
O2tpp,SUCCt3pp,pFBAOpt_Rxns,ELE_Rxns
O2tpp,SUCCtex,pFBAOpt_Rxns,ELE_Rxns
O2tpp,FRD2,pFBAOpt_Rxns,ELE_Rxns
ORNDC,UREAtex,ELE_Rxns,ELE_Rxns
ORNDC,UREAtpp,ELE_Rxns,ELE_Rxns
ORNDC,AGMT,ELE_Rxns,ELE_Rxns
PA140abcpp,CLPNH140pp,ELE_Rxns,ELE_Rxns
PA160abcpp,CLPNH160pp,ELE_Rxns,ELE_Rxns
PA161abcpp,CLPNH161pp,ELE_Rxns,ELE_Rxns
PA180abcpp,CLPNH180pp,ELE_Rxns,ELE_Rxns
PA181abcpp,CLPNH181pp,ELE_Rxns,ELE_Rxns
PAPA161pp,LIPAabcpp,ELE_Rxns,ELE_Rxns
PAPA161pp,PETNT161pp,ELE_Rxns,ELE_Rxns
PAPA181pp,LIPAabcpp,ELE_Rxns,ELE_Rxns
PAPA181pp,PETNT181pp,ELE_Rxns,ELE_Rxns
PAPSR,GRXR,ELE_Rxns,ELE_Rxns
PAPSR,GTHOr,ELE_Rxns,ELE_Rxns
PAPSR,PAPSR2,ELE_Rxns,ELE_Rxns
PG140abcpp,PGP140abcpp,ELE_Rxns,ELE_Rxns
